Exercice;siren;Code commune;Nom Collectivité;Population municipale;Population totale;com_code;tranche_poids_des_logements_sociaux;Tranche revenu par habitant;Commune rurale;Code Officiel Région;Code Officiel Département;Strate population;Outre-mer;Code Officiel EPCI;Compte 2023 Disponible;Commune touristique;Présence QPV;Commune de montagne;Nom Officiel Commune;Population totale du dernier exercice;Nom Officiel Région;Nom Officiel Département;Nom Officiel EPCI;annee_texte
2012;213103302;31330;Mauressac;411;421;31330;0;1;Oui;76;31;3;Non;200068807;1;Non;Non;Non;Mauressac;511;Occitanie;Haute-Garonne;Communauté de communes du Bassin Auterivain Haut-Garonnais;2012
2012;213103328;31332;Mauvaisin;227;235;31332;0;2;Oui;76;31;2;Non;200071298;1;Non;Non;Non;Mauvaisin;218;Occitanie;Haute-Garonne;Communauté de communes des Terres du Lauragais;2012
2012;213103385;31338;Menville;518;528;31338;0;3;Oui;76;31;3;Non;200071314;1;Non;Non;Non;Menville;811;Occitanie;Haute-Garonne;Communauté de communes des Hauts-Tolosans;2012
2012;213103435;31343;Mirambeau;51;54;31343;0;1;Oui;76;31;0;Non;200072643;1;Non;Non;Non;Mirambeau;61;Occitanie;Haute-Garonne;Communauté de communes Cœur et Coteaux du Comminges;2012
2012;213103518;31351;Mondonville;3855;3895;31351;9;2;Non;76;31;6;Non;243100518;1;Non;Non;Non;Mondonville;5582;Occitanie;Haute-Garonne;Toulouse Métropole;2012
2012;213103617;31361;Montaut;507;517;31361;0;2;Oui;76;31;3;Non;200066819;1;Non;Non;Non;Montaut;517;Occitanie;Haute-Garonne;Communauté de communes du Volvestre;2012
2012;213103682;31368;Montclar-Lauragais;201;204;31368;0;1;Oui;76;31;2;Non;200071298;1;Non;Non;Non;Montclar-Lauragais;253;Occitanie;Haute-Garonne;Communauté de communes des Terres du Lauragais;2012
2012;213103732;31373;Montesquieu-Guittaut;140;142;31373;2;1;Oui;76;31;1;Non;200072643;1;Non;Non;Non;Montesquieu-Guittaut;182;Occitanie;Haute-Garonne;Communauté de communes Cœur et Coteaux du Comminges;2012
2012;213103799;31379;Montgazin;168;174;31379;0;2;Oui;76;31;1;Non;200066819;1;Non;Non;Non;Montgazin;171;Occitanie;Haute-Garonne;Communauté de communes du Volvestre;2012
2012;213103807;31380;Montgeard;434;436;31380;2;2;Oui;76;31;3;Non;200071298;1;Non;Non;Non;Montgeard;533;Occitanie;Haute-Garonne;Communauté de communes des Terres du Lauragais;2012
2012;213103872;31387;Montoussin;119;119;31387;0;2;Oui;76;31;1;Non;200068815;1;Non;Non;Non;Montoussin;129;Occitanie;Haute-Garonne;Communauté de communes Cœur de Garonne;2012
2012;213103914;31391;Montsaunès;404;440;31391;0;1;Oui;76;31;2;Non;200073146;1;Non;Non;Non;Montsaunès;485;Occitanie;Haute-Garonne;Communauté de communes Cagire Garonne Salat;2012
2012;213103971;31397;Nénigan;58;58;31397;0;1;Oui;76;31;0;Non;200072643;1;Non;Non;Non;Nénigan;53;Occitanie;Haute-Garonne;Communauté de communes Cœur et Coteaux du Comminges;2012
2012;213103997;31399;Noé;2603;2635;31399;9;1;Non;76;31;4;Non;200066819;1;Non;Non;Non;Noé;3001;Occitanie;Haute-Garonne;Communauté de communes du Volvestre;2012
2012;213104003;31400;Nogaret;70;72;31400;0;2;Oui;76;31;0;Non;243100567;1;Non;Non;Non;Nogaret;93;Occitanie;Haute-Garonne;Communauté de communes Aux sources du Canal du Midi;2012
2012;213104060;31406;Palaminy;813;842;31406;0;1;Non;76;31;3;Non;200068815;1;Non;Non;Non;Palaminy;824;Occitanie;Haute-Garonne;Communauté de communes Cœur de Garonne;2012
2012;213104102;31410;Pechbonnieu;3868;3919;31410;9;2;Non;76;31;5;Non;243100815;1;Non;Non;Non;Pechbonnieu;4714;Occitanie;Haute-Garonne;Communauté de communes des Coteaux Bellevue;2012
2012;213104128;31412;Péguilhan;249;253;31412;3;1;Oui;76;31;2;Non;200072643;1;Non;Non;Non;Péguilhan;271;Occitanie;Haute-Garonne;Communauté de communes Cœur et Coteaux du Comminges;2012
2012;213104185;31418;Pin-Balma;906;929;31418;1;5;Oui;76;31;3;Non;243100518;1;Non;Non;Non;Pin-Balma;987;Occitanie;Haute-Garonne;Toulouse Métropole;2012
2012;213104433;31443;Puymaurin;298;302;31443;0;1;Oui;76;31;2;Non;200072643;1;Non;Non;Non;Puymaurin;304;Occitanie;Haute-Garonne;Communauté de communes Cœur et Coteaux du Comminges;2012
2012;213104458;31445;Quint-Fonsegrives;4714;4822;31445;9;3;Non;76;31;6;Non;243100518;1;Non;Non;Non;Quint-Fonsegrives;6038;Occitanie;Haute-Garonne;Toulouse Métropole;2012
2012;213104532;31453;Rieumajou;131;135;31453;0;2;Oui;76;31;1;Non;200071298;1;Non;Non;Non;Rieumajou;142;Occitanie;Haute-Garonne;Communauté de communes des Terres du Lauragais;2012
2012;213104623;31462;Rouffiac-Tolosan;1729;1756;31462;9;5;Non;76;31;4;Non;243100815;1;Non;Non;Non;Rouffiac-Tolosan;2031;Occitanie;Haute-Garonne;Communauté de communes des Coteaux Bellevue;2012
2012;213104722;31472;Saint-Bertrand-de-Comminges;259;263;31472;0;1;Oui;76;31;2;Non;200072635;1;Non;Non;Oui;Saint-Bertrand-de-Comminges;242;Occitanie;Haute-Garonne;Communauté de communes Pyrénées Haut Garonnaises;2012
2012;213104854;31485;Saint-Germier;100;101;31485;0;1;Oui;76;31;1;Non;200071298;1;Non;Non;Non;Saint-Germier;120;Occitanie;Haute-Garonne;Communauté de communes des Terres du Lauragais;2012
2012;213104896;31489;Saint-Jean-Lherm;366;370;31489;0;4;Oui;76;31;2;Non;243100732;1;Non;Non;Non;Saint-Jean-Lherm;406;Occitanie;Haute-Garonne;Communauté de communes des Coteaux du Girou;2012
2012;213400088;34008;Les Aires;563;579;34008;1;1;Non;76;34;3;Non;200042646;1;Non;Non;Oui;Les Aires;621;Occitanie;Hérault;Communauté de communes Grand Orb communauté de communes en Languedoc;2012
2012;213400112;34011;Arboras;95;97;34011;0;1;Oui;76;34;1;Non;243400694;1;Oui;Non;Non;Arboras;112;Occitanie;Hérault;Communauté de communes Vallée de l'Hérault;2012
2012;213400377;34037;Boujan-sur-Libron;3106;3201;34037;9;2;Non;76;34;4;Non;243400769;1;Oui;Non;Non;Boujan-sur-Libron;3426;Occitanie;Hérault;Communauté d'agglomération de Béziers-Méditerranée;2012
2012;213204100;32410;Samatan;2297;2390;32410;9;2;Non;76;32;4;Non;243200599;1;Non;Non;Non;Samatan;2484;Occitanie;Gers;Communauté de communes du Saves;2012
2012;213204308;32430;Sère;92;93;32430;0;1;Oui;76;32;0;Non;200072320;1;Non;Non;Non;Sère;79;Occitanie;Gers;Communauté de communes Val de Gers;2012
2012;213204324;32432;Seysses-Savès;264;271;32432;0;2;Oui;76;32;2;Non;243200599;1;Non;Non;Non;Seysses-Savès;248;Occitanie;Gers;Communauté de communes du Saves;2012
2012;213204431;32443;Termes-d'Armagnac;195;204;32443;0;1;Oui;76;32;1;Non;200035632;1;Non;Non;Non;Termes-d'Armagnac;186;Occitanie;Gers;Communauté de communes Armagnac Adour;2012
2012;213204647;32464;Villecomtal-sur-Arros;858;872;32464;3;1;Oui;76;32;3;Non;200035756;1;Non;Non;Non;Villecomtal-sur-Arros;857;Occitanie;Gers;Communauté de communes Astarac Arros en Gascogne;2012
2012;213204654;32465;Villefranche;163;163;32465;0;1;Oui;76;32;1;Non;200042372;1;Non;Non;Non;Villefranche-d'Astarac;138;Occitanie;Gers;Communauté de communes des Coteaux Arrats Gimone;2012
2012;213204670;32467;Saint-Caprais;128;131;32467;0;1;Oui;76;32;1;Non;200042372;1;Non;Non;Non;Saint-Caprais;147;Occitanie;Gers;Communauté de communes des Coteaux Arrats Gimone;2012
2012;213400674;34067;Cazilhac;1269;1310;34067;0;1;Non;76;34;3;Non;243400736;1;Non;Non;Oui;Cazilhac;1594;Occitanie;Hérault;Communauté de communes des Cévennes Gangeoises et Suménoises;2012
2012;213400716;34071;Ceilhes-et-Rocozels;307;314;34071;1;0;Oui;76;34;2;Non;200042646;1;Non;Non;Oui;Ceilhes-et-Rocozels;308;Occitanie;Hérault;Communauté de communes Grand Orb communauté de communes en Languedoc;2012
2012;213400740;34074;Cessenon-sur-Orb;2034;2062;34074;9;1;Non;76;34;4;Non;200042653;1;Non;Non;Non;Cessenon-sur-Orb;2408;Occitanie;Hérault;Communauté de communes Sud-Hérault;2012
2012;213400757;34075;Cesseras;392;403;34075;0;1;Oui;76;34;2;Non;200066348;1;Non;Non;Non;Cesseras;428;Occitanie;Hérault;Communauté de communes du Minervois au Caroux;2012
2012;213400781;34078;Claret;1388;1416;34078;1;2;Oui;76;34;3;Non;200022986;1;Non;Non;Non;Claret;1730;Occitanie;Hérault;Communauté de communes du Grand Pic Saint-Loup;2012
2012;213401003;34100;Ferrières-Poussarou;59;61;34100;0;3;Oui;76;34;0;Non;200066348;1;Non;Non;Oui;Ferrières-Poussarou;56;Occitanie;Hérault;Communauté de communes du Minervois au Caroux;2012
2012;213401011;34101;Florensac;4757;4866;34101;9;1;Non;76;34;6;Non;243400819;1;Non;Non;Non;Florensac;5116;Occitanie;Hérault;Communauté d'agglomération Hérault-Méditerranée;2012
2012;213401037;34103;Fontès;938;962;34103;1;1;Oui;76;34;3;Non;243400355;1;Non;Non;Non;Fontès;1071;Occitanie;Hérault;Communauté de communes du Clermontais;2012
