Libelle_commune,Annee,Candidats
Agon-Coutainville,2007,"['JOURDAIN MENNINGER', 'COUSIN']"
Agon-Coutainville,2012,"['TRAVERT', 'COUSIN']"
Agonac,2007,"['LUCAS', 'DEBET']"
Agonges,2007,"['MALLOT', 'SIMON']"
Agonges,2012,"['PERISSOL', 'CHAMBEFORT']"
Agonès,2007,"['LECOU', 'MOURE']"
Agonès,2012,"['ROIG', 'LECOU']"
Agonès,2017,"['GAUBERT', 'ELIAOU']"
Agonès,2022,"['ROME', 'BOUQUIN']"
Agos-Vidalos,2007,"['TREMEGE', 'ROBIN-RODRIGO']"
Agos-Vidalos,2012,"['DUBIE', 'ARTIGANAVE']"
Agos-Vidalos,2017,"['DUBIÉ', 'STARICKY']"
Agos-Vidalos,2022,"['KORN', 'MOURNET']"
Agris,2007,"['PINVILLE', 'MOTTET']"
Agudelle,2012,"['DUGAS-RAVENEAU', 'BUSSEREAU']"
Aguessac,2007,"['MARRE', 'MARC']"
Aguessac,2012,"['FOULQUIER', 'MARC']"
Aguessac,2017,"['AUSTRUY', 'VIALA']"
Aguessac,2022,"['RHIN', 'ROUSSET']"
Aguilcourt,2007,"['DOSIERE', 'BLANCHARD-DOUCHAIN']"
Aguilcourt,2012,"['DOSIERE', 'KARIMET']"
Aguts,2007,"['COLLANGE', 'CARAYON']"
Aguts,2012,"['GOURJADE', 'CARAYON']"
Aguts,2017,"['TERLIER', 'CARAYON']"
Aguts,2022,"['TERLIER', 'LASSALLE']"
Agy,2007,"['LEFRANC', 'LE MOAL']"
Agy,2012,"['ATTARD', 'NOUVELOT']"
Ahaxe-Alciette-Bascassan,2007,"['DOMECQ', 'LASSALLE']"
Ahaxe-Alciette-Bascassan,2012,"['MAITIA', 'LASSALLE']"
Ahetze,2007,"['ALLIOT-MARIE', 'ALAUX']"
Ahetze,2012,"['ALLIOT-MARIE', 'ALAUX']"
Ahuillé,2007,"['GAROT', ""D'AUBERT""]"
Ahuillé,2012,"['TRIBONDEAU', 'CHEVROLLIER']"
Ahun,2007,"['AUCLAIR', 'SARRE']"
Ahun,2012,"['VERGNIER', 'AUCLAIR']"
Ahuy,2007,"['DEPIERRE', 'TENENBAUM']"
Ahuy,2012,"['DEPIERRE', 'GRANDGUILLAUME']"
Ahéville,2007,"['FRANQUEVILLE', 'GAULTIER']"
Ahéville,2012,"['FRANQUEVILLE', 'GAULTIER']"
Aibes,2007,"['PERAT', 'POYART']"
Aibes,2012,"['MARIN', 'PAUVROS']"
Aibre,2007,"['PARRENIN', 'BONNOT']"
Aibre,2012,"['BONNOT', 'MARTHEY']"
Aiffres,2007,"['GAILLARD', 'ROUILLE']"
Aiffres,2012,"['GAILLARD', 'BALOGE']"
Aigaliers,2007,"['PISSAS', 'ROUBAUD']"
Aigaliers,2012,"['CAVARD', 'PROUST']"
Aigaliers,2017,"['GARDET', 'BERTA']"
Aigaliers,2022,"['CADÈNE', 'BERTA']"
Aiglemont,2007,"['POLETTI', 'LEDOUX']"
Aiglemont,2012,"['POLETTI', 'LEDOUX']"
Aiglepierre,2007,"['SERMIER', 'VIVERGE']"
Aiglepierre,2012,"['LAROCHE', 'SERMIER']"
Aigleville,2007,"['MANSOURET', 'LE MAIRE']"
Aigleville,2012,"['CHAMPREDON', 'LE MAIRE']"
Aiglun,2007,"['BARREILLE', 'BIANCO']"
Aiglun,2012,"['BARREILLE', 'SAUVAN', 'ASCHIERI', 'GINESY']"
Aignan,2007,"['MOUCHET', 'MARTIN']"
Aignan,2017,"['DUPOUEY', 'CAZENEUVE']"
Aignan,2022,"['LEVIEUX', 'CAZENEUVE']"
Aignay-le-Duc,2012,"['MOLINOZ', 'SAUVADET']"
Aigne,2007,"['ROQUES', 'MESQUIDA']"
Aigne,2012,"['MESQUIDA', 'CALANDRI']"
Aigne,2017,"['ARDINAT', 'HUPPÉ']"
Aigne,2022,"['POLARD', 'GALZY']"
Aignerville,2007,"['LEFRANC', 'LE MOAL']"
Aignerville,2012,"['ATTARD', 'NOUVELOT']"
Aignes,2007,"['BASTIANI', 'LEMASLE']"
Aignes,2012,"['LEMASLE', 'VIANSSON-PONTE']"
Aignes,2017,"['TOUTUT-PICARD', 'DOMBES']"
Aignes,2022,"['BEX', 'TOUTUT-PICARD']"
Aignes-et-Puypéroux,2007,"['FAURY', 'VIOLLET']"
Aignes-et-Puypéroux,2012,"['SAUVAITRE', 'REYNAUD']"
Aigneville,2007,"['PEILLON', 'BIGNON']"
Aigneville,2012,"['BUISINE', 'BIGNON']"
Aigny,2007,"['BERTHIOT', 'APPARU']"
Aigny,2012,"['APPARU', 'NAMUR']"
Aigné,2007,"['DUBOIS', 'LABRETTE-MENAGER']"
Aigné,2012,"['DUBOIS', 'LABRETTE-MENAGER']"
Aigonnay,2007,"['GRIFFAULT', 'BATHO']"
Aigre,2007,"['FOMBARON', 'LAMBERT']"
Aigrefeuille,2007,"['DANEN', 'COHEN']"
Aigrefeuille,2012,"['FAURE', 'ARIF']"
Aigrefeuille,2017,"['FABRE', 'NADOT']"
Aigrefeuille,2022,"['FAURE', 'ASSIER']"
Aigrefeuille-d'Aunis,2007,"['LEONARD', 'BONNIN']"
Aigrefeuille-d'Aunis,2012,"['TALLARD', 'LEONARD']"
Aigrefeuille-sur-Maine,2007,"[""L'HOSTIS"", 'POIGNANT']"
Aigrefeuille-sur-Maine,2012,"['ERRANTE', 'DEJOIE']"
Aigremont,2007,"['RUAS', 'ROLLAND', 'DUMAS', 'CAULLET']"
Aigremont,2012,"['MORANGE', 'ANDRIOT', 'CHATEL', 'AIT', 'DUMAS', 'ROLLAND', 'VERGNES', 'CAULLET']"
Aigremont,2017,"['DE VIDO', 'GAILLARD']"
